Title,Poet,era,cap_rate,punct_rate,colon_density,concrete_abstract_ratio,adv_verb_ratio,rhyme_rate,archaic_density,uses_rhyme,rhyme_rate_given_uses,uses_colons,colon_density_given_uses,caps_all,cap_rate_given_not_all,high_punct,punct_rate_given_not_all,uses_archaism,archaic_density_given_uses,era_3class
"
                    Northern Farmer: New Style
                ","Alfred, Lord Tennyson",1800-1900,1.0,0.9333333333333332,2.0114942528735633,0.3258426966292135,0.2809917355371901,0.0,2.857142857142857,0,,1,2.0114942528735633,1,,1,,1,2.857142857142857,1800-1900
"
                    Bunch of Stuff
                ",John Ashbery,Post-1900,0.8333333333333334,1.0,0.6172839506172839,0.3461538461538461,0.1875,0.0,0.0,0,,1,0.6172839506172839,0,0.8333333333333334,1,,0,,Post-1900
"
                    Epitaph
                ",Katherine Philips,Pre-1800,1.0,0.9166666666666666,1.36986301369863,0.4081632653061224,0.5238095238095238,0.1666666666666666,0.0,1,0.1666666666666666,1,1.36986301369863,1,,1,,0,,Pre-1800
"
                    Preparedness
                ",Edwin Markham,1800-1900,1.0,1.0,4.545454545454546,0.6,0.3333333333333333,0.4,0.0,1,0.4,1,4.545454545454546,1,,1,,0,,1800-1900
"
                    Watermark
                ",Michael McKimm,Post-1900,0.15,1.0,0.8733624454148471,0.7230769230769231,0.1290322580645161,0.0,0.0,0,,1,0.8733624454148471,0,0.15,1,,0,,Post-1900
"
                    On the Death of Richard West
                ",Thomas Gray,Pre-1800,1.0,1.0,7.4074074074074066,0.4642857142857143,0.1363636363636363,0.1904761904761904,0.9090909090909092,1,0.1904761904761904,1,7.4074074074074066,1,,1,,1,0.9090909090909092,Pre-1800
"
                    A Song: Ask me no more where Jove bestows
                ",Thomas Carew,Pre-1800,1.0,1.0,3.7037037037037033,0.6571428571428571,0.4285714285714285,0.1304347826086956,2.941176470588235,1,0.1304347826086956,1,3.7037037037037033,1,,1,,1,2.941176470588235,Pre-1800
"
                    Late Ripeness
                ",Czeslaw Milosz,Post-1900,0.35,0.7,0.0,0.2337662337662337,0.2941176470588235,0.0,0.5025125628140703,0,,0,,0,0.35,0,0.7,1,0.5025125628140703,Post-1900
"
                    Going Back to Bed
                ",J. D. McClatchy,Post-1900,0.125,0.5416666666666666,0.0,0.2978723404255319,0.4411764705882353,0.024390243902439,0.0,1,0.024390243902439,0,,0,0.125,0,0.5416666666666666,0,,Post-1900
"
                    Pink Pantsuit
                ",Nancy Simpson,Post-1900,1.0,1.0,0.0,0.5384615384615384,0.0,0.0,0.0,0,,0,,1,,1,,0,,Post-1900
"
                    A Lament
                ",Percy Bysshe Shelley,1800-1900,1.0,0.8333333333333334,3.1746031746031744,0.2272727272727272,0.5,0.2222222222222222,0.0,1,0.2222222222222222,1,3.1746031746031744,1,,0,0.8333333333333334,0,,1800-1900
"
                    Diorama (woman on a cameo brooch)
                ",Catie Rosemurgy,Post-1900,0.5882352941176471,0.8235294117647058,0.0,0.44,0.1842105263157894,0.0,0.0,0,,0,,0,0.5882352941176471,0,0.8235294117647058,0,,Post-1900
"
                    A Poem of Love in Eleven Lines
                ",Gerrit Lansing,Post-1900,0.2307692307692307,0.5384615384615384,1.7699115044247788,0.55,0.2857142857142857,0.0,0.0,0,,1,1.7699115044247788,0,0.2307692307692307,0,0.5384615384615384,0,,Post-1900
"
                    The Book of Ash
                ",Mari L'Esperance,Post-1900,0.3846153846153846,0.3846153846153846,0.0,0.48,0.1666666666666666,0.0,0.0,0,,0,,0,0.3846153846153846,0,0.3846153846153846,0,,Post-1900
"
                    The Nuns Assist at Childbirth
                ",Barbara Howes,Post-1900,1.0,0.4,0.0,0.4871794871794871,0.3076923076923077,0.088235294117647,0.0,1,0.088235294117647,0,,1,,0,0.4,0,,Post-1900
"
                    The Matrix
                ",Amy Lowell,Post-1900,1.0,1.0,2.0408163265306123,0.6060606060606061,0.2142857142857142,0.0,0.0,0,,1,2.0408163265306123,1,,1,,0,,Post-1900
"
                    ‘The Opal Sea’
                ",Ella Higginson,1800-1900,1.0,0.3333333333333333,0.0,0.7142857142857143,0.2,0.1333333333333333,0.0,1,0.1333333333333333,0,,1,,0,0.3333333333333333,0,,1800-1900
"
                    The House of Time
                ",Stephen Edgar,Post-1900,1.0,1.0,0.9287925696594428,0.2941176470588235,0.3623188405797101,0.0909090909090909,0.303030303030303,1,0.0909090909090909,1,0.9287925696594428,1,,1,,1,0.303030303030303,Post-1900
